DepartmentID,Building,Office,MajorOffered,TotalHoursReq,AdvisorID,AdvisorPhone
D1,G,233,ART,126,A6,1117
D2,R,1045,CS,122,A1,2002
D2,R,1045,CS,122,A2,2324
D2,R,1045,IT,124,A3,2717
D2,R,1045,IT,124,A4,2888
D2,R,1045,CyS,122,A5,2202
D2,R,1045,CyS,122,A6,2329
D2,R,1045,CyS,122,A7,2555
D2,R,1045,IS,126,A8,2007
D3,H,2120,EE,124,A17,3090
D3,H,2120,EE,124,A20,3311
D3,H,2120,CpE,126,A11,3414
D4,H,1064,EDU,120,A12,7209
D5,G,118,MATH,120,A22,4314
D5,G,118,MATH,120,A23,4412
D5,G,118,MATH,120,A25,4887
D5,G,118,MEDU,124,A14,1445
D6,M,36,SOC,120,A15,2710
D7,G,104,ACCT,122,A16,5110
D7,G,104,MKT,126,A9,5116
D8,M,32,BIOL,120,A17,2800
D9,H,1152,PHY,124,A26,1528
,,,,,,
,,,,,,
