InstructorID,CoursePrefix,CourseNumber,Credits,Semester,YearTaught
T1,CNT,4104,4,S,2019
T1,CNT,4104,4,F,2019
T1,CNT,4104,4,F,2020
T1,CNT,4104,4,S,2021
T1,CIS,4935,4,S,2020
T2,CNT,4100,1,F,2019
T2,CNT,4100,1,F,2020
T2,COP,4703,3,F,2020
T2,COP,4703,3,S,2021
T2,COP,4703,3,F,2021
T4,CIS,2233,3,F,2019
T4,CIS,2233,3,S,2020
T4,CIS,2003,3,S,2020
T4,CIS,2003,3,F,2020
T4,CIS,3433,3,F,2019
T4,CIS,3433,3,F,2020
T4,CIS,4935,4,U,2020
T4,CIS,4935,4,F,2020
T5,CIS,2233,3,S,2019
T5,CIS,2233,3,U,2019
T5,CIS,4935,4,S,2019
T7,COP,2512,3,S,2019
T7,COP,2512,3,S,2020
T7,COP,2512,3,F,2020
T7,COP,4703,3,S,2019
T7,COP,4703,3,S,2020
T7,COP,4703,3,F,2019
T7,CIS,4935,4,U,2019
T7,CIS,4935,4,S,2021
T8,ARH,3001,1,F,2019
T8,ARH,3001,1,S,2020
T8,ARH,3001,1,U,2020
T8,ARH,3001,1,S,2021
T8,ART,3635,3,F,2019
T8,ART,3635,3,F,2020
T8,ART,3635,3,F,2021
T9,EGN,3420,1,S,2019
T9,EGN,3420,1,U,2019
T9,EGN,3420,1,S,2020
T9,EGN,3420,1,S,2021
T9,EEL,4914,4,S,2019
T9,EEL,4914,4,F,2019
T9,EEL,4914,4,F,2020
T9,EEL,4914,4,S,2021
T11,PHY,2048,3,U,2019
T11,PHY,2048,3,F,2019
T11,PHY,2048,3,F,2020
T11,PHY,2048,3,S,2021
T12,ZOO,1404,1,S,2019
T12,ZOO,1404,1,F,2019
T12,ZOO,1404,1,S,2020
T12,ZOO,1404,1,F,2020
T12,ZOO,1404,1,U,2021
