StudentID,CoursePrefix,CourseNumber,Semester,YearTaken,Grade
U1,CIS,2233,F,2019,A
U1,EGN,3420,S,2019,B
U1,CNT,4104,S,2021,A
U1,CNT,4100,F,2019,B
U1,COP,4703,S,2020,C
U3,ARH,3001,S,2021,B
U3,ZOO,1404,S,2019,A
U3,EEL,4914,F,2019,A
U5,EGN,3420,S,2019,B
U5,PHY,2048,U,2019,F
U5,CNT,4104,S,2021,C
U5,CIS,4935,S,2021,C
U5,COP,2512,S,2020,C
U5,ART,3635,F,2019,A
U5,CIS,3433,F,2020,A
U5,CIS,2003,F,2020,B
U6,COP,4703,S,2020,A
U6,CIS,4935,S,2021,A
U6,CIS,3433,F,2020,A
U7,CIS,2233,F,2019,A
U7,ZOO,1404,S,2019,A
U7,CNT,4100,F,2019,C
U7,COP,4703,S,2020,B
U7,ARH,3001,U,2020,A
U7,CIS,2003,F,2020,C
U7,COP,2512,S,2020,D
U7,CIS,4935,S,2021,B
U9,CIS,2233,F,2019,F
U9,CIS,2233,S,2020,C
U9,ARH,3001,S,2021,C
U9,ZOO,1404,S,2019,B
U9,CNT,4104,S,2021,B
U9,COP,4703,F,2019,B
U9,CIS,4935,S,2021,A
U11,ZOO,1404,F,2020,A
U11,ART,3635,F,2019,A
U11,COP,2512,S,2019,I
U11,COP,2512,S,2020,D
U11,COP,2512,F,2020,A
U11,CIS,4935,S,2021,B
U11,CIS,3433,F,2019,C
U11,CNT,4104,S,2021,A
U12,ARH,3001,S,2021,B
U12,EGN,3420,S,2019,B
U12,PHY,2048,U,2019,D
U12,EEL,4914,F,2019,A
U12,COP,2512,S,2020,A
U13,CNT,4104,S,2021,B
U13,CIS,4935,U,2019,F
U13,CIS,4935,S,2021,D
U13,COP,2512,S,2020,C
U13,PHY,2048,S,2021,C
U14,EEL,4914,S,2019,B
U14,EGN,3420,S,2021,B
U14,PHY,2048,U,2019,B
U17,PHY,2048,U,2019,A
U17,ART,3635,F,2021,A
U20,ZOO,1404,U,2021,B
U20,COP,4703,F,2019,B
U20,ART,3635,F,2019,A
U20,CIS,3433,F,2019,B
U20,CIS,2003,S,2020,F
U20,CIS,2003,F,2020,B
